start,end,에너지,탄수화물,당류,지방,단백질,칼슘,인,나트륨,칼륨,마그네슘,철,아연,콜레스테롤,트랜스지방
6,8,1500,130,56,51,35,600,700,2000,3500,280,10,8,300,2
9,11,1800,130,68,51,45,600,700,2000,3500,280,10,8,300,2
12,14,2000,130,75,51,55,600,700,2000,3500,280,10,8,300,2
15,18,2000,130,75,51,55,600,700,2000,3500,280,10,8,300,2
19,29,2000,130,79,51,55,600,700,2000,3500,280,10,8,300,2
30,49,1900,130,71,51,50,600,700,2000,3500,280,10,8,300,2
50,64,1700,130,68,51,50,600,700,2000,3500,280,10,8,300,2
65,74,1600,130,60,51,50,600,700,2000,3500,280,10,8,300,2
75,100,1500,130,60,51,50,600,700,2000,3500,280,10,8,300,2
